name,location,cuisines,rate,votes,approx_cost_for_two,online_order,book_table,rest_type,listed_in_type
Chocolat Boulangerie Patisserie,Koramangala 4th Block,"Bakery, Continental, Sandwich, Beverages, Desserts",4.1,445,400,No,No,Dessert Parlor,Delivery
Habitts,BTM,"Fast Food, Burger, Italian, Beverages",3.7,61,350,Yes,No,Quick Bites,Delivery
Tandoor Garden,BTM,"North Indian, Chinese, Kebab",3.6,71,350,Yes,No,Quick Bites,Delivery
Asia Kitchen By Mainland China,Koramangala 5th Block,"Asian, Chinese, Thai, Momos",4.9,2217,1500,Yes,Yes,"Casual Dining, Bar",Delivery
The Vacationer's Cafe,Koramangala 7th Block,"Cafe, Continental, Mexican",4.1,306,600,Yes,No,Cafe,Delivery
Hotel Tom's Restaurant,Koramangala 6th Block,"Mangalorean, Seafood, Chinese, North Indian",4.1,67,1000,Yes,No,Casual Dining,Delivery
Mid-Night Crunch,HSR,"North Indian, Chinese",3.7,455,400,Yes,No,"Takeaway, Delivery",Delivery
Desi Flavours,Koramangala 1st Block,"North Indian, Chinese, Biryani",3.9,121,400,Yes,No,Quick Bites,Delivery
Min Mini Punjabi Dhaba,Koramangala 7th Block,North Indian,3.9,85,400,Yes,No,Quick Bites,Delivery
Mast Kalandar,Koramangala 4th Block,North Indian,2.5,547,450,No,No,Casual Dining,Delivery
The Rasoiya Street,HSR,"North Indian, Continental, Mediterranean, Chinese",4.1,1326,800,Yes,Yes,Casual Dining,Delivery
Petoo,Koramangala 1st Block,"North Indian, Fast Food, Street Food",3.8,178,800,Yes,No,Casual Dining,Delivery
Keep It Straight Cafe,HSR,"Cafe, North Indian, Fast Food",3.9,202,500,Yes,Yes,Cafe,Delivery
Roots,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental, Mangalorean",4.5,1888,1200,Yes,Yes,"Casual Dining, Bar",Delivery
Hyderabad Biryaani Home,South Bangalore,"North Indian, Hyderabadi, Chinese",3.0,137,650,Yes,No,Takeaway,Delivery
Mustard Food Court,Koramangala 3rd Block,"North Indian, Chinese",3.6,165,500,Yes,No,Casual Dining,Delivery
Swathi Maharaja,Koramangala 4th Block,"Andhra, North Indian, Chinese, Biryani",3.7,291,750,Yes,Yes,Casual Dining,Delivery
Vintage Shack,HSR,"North Indian, Continental",3.9,161,900,Yes,Yes,"Casual Dining, Lounge",Delivery
Mynutrikitchen,HSR,"North Indian, Healthy Food",3.6,59,300,Yes,No,Delivery,Delivery
Cashmere Nites,Koramangala 6th Block,Kashmiri,3.5,74,600,Yes,No,Casual Dining,Delivery
Kumarakom,HSR,"Kerala, Seafood, South Indian, North Indian, Chinese",3.8,1168,600,Yes,Yes,Casual Dining,Delivery
Kitchen On Table,HSR,"BBQ, Chinese, Japanese, Asian",4.3,791,1000,Yes,No,Casual Dining,Delivery
Rajdhani Thali Restaurant,Koramangala 7th Block,North Indian,4.0,795,900,Yes,Yes,Casual Dining,Delivery
Cupcake Noggins,Koramangala 4th Block,"Desserts, Bakery",4.1,724,300,No,No,"Dessert Parlor, Bakery",Delivery
Hotel Food Lands,Koramangala 7th Block,"Seafood, Mangalorean",3.8,57,700,Yes,No,Casual Dining,Delivery
Royal Paris,BTM,"North Indian, Arabian, Chinese",3.9,71,1000,Yes,No,Casual Dining,Delivery
Sufra Restaurant,HSR,"North Indian, Chinese",3.7,113,800,Yes,Yes,Casual Dining,Delivery
Ghee Positive,Koramangala 8th Block,"North Indian, Chinese",3.8,48,300,Yes,No,Quick Bites,Delivery
Grills And Tandoor,Koramangala 5th Block,"North Indian, Chinese",3.7,109,900,Yes,Yes,Casual Dining,Delivery
Paratha Plaza,Koramangala 4th Block,North Indian,3.9,220,250,No,No,Quick Bites,Delivery
Dalma,Koramangala 6th Block,Oriya,3.9,475,600,Yes,No,Casual Dining,Delivery
Vasudev Adiga's,Koramangala 4th Block,"South Indian, North Indian, Chinese, Street Food",2.8,289,250,No,No,Casual Dining,Delivery
Helloo Delhi,Koramangala 4th Block,North Indian,4.1,221,1000,Yes,Yes,Casual Dining,Delivery
Indus Family Restaurant,BTM,"North Indian, Biryani",3.8,117,600,Yes,No,Casual Dining,Delivery
Chill-Um Cafe,Koramangala 6th Block,"Cafe, Chinese, Continental",4.1,152,600,Yes,Yes,Quick Bites,Delivery
Cinnamon,HSR,"North Indian, Chinese, Biryani",3.9,450,550,Yes,No,Casual Dining,Delivery
Samaikya,HSR,"Andhra, Seafood, Biryani",3.9,535,900,Yes,Yes,Casual Dining,Delivery
Daily Bread,Koramangala 4th Block,"Bakery, Fast Food, Italian",2.8,53,600,No,No,"Bakery, Quick Bites",Delivery
Buff Buffet Buff,Koramangala 5th Block,"North Indian, Chinese, Continental, Thai, Salad",4.5,3156,1500,Yes,Yes,"Casual Dining, Bar",Delivery
Rajan's Cafe,Domlur,"North Indian, Chinese, Fast Food",2.8,79,300,Yes,No,Quick Bites,Delivery
Rashtrakutas,HSR,"South Indian, Biryani, North Indian",4.0,404,800,Yes,Yes,Casual Dining,Delivery
The Hidden Cafe,Koramangala 1st Block,"North Indian, Fast Food",3.9,95,350,Yes,No,Quick Bites,Delivery
Momo Hut,Koramangala 5th Block,"Chinese, Tibetan, Momos",4.0,684,250,Yes,No,Quick Bites,Delivery
Brewz Coffee,BTM,Cafe,3.0,61,650,Yes,No,Cafe,Delivery
The Kream Story,Koramangala 7th Block,"Desserts, Fast Food",4.1,37,500,Yes,No,"Dessert Parlor, Quick Bites",Delivery
Chung Wah,Koramangala 5th Block,"Chinese, Thai, Momos, Vietnamese",4.0,314,800,Yes,No,Casual Dining,Delivery
Tim Tai,Koramangala 5th Block,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese",4.4,3673,1400,Yes,Yes,Casual Dining,Delivery
Nanda's,HSR,"North Indian, Chinese, Andhra",2.9,361,450,Yes,No,Casual Dining,Delivery
Midnight Pizza Slurpp,Koramangala 4th Block,"Italian, Pizza",3.7,99,700,No,No,Delivery,Delivery
Popsies,Koramangala 5th Block,"Chinese, Momos",3.9,823,750,Yes,No,Casual Dining,Delivery
The Charcoal Factory,Koramangala 6th Block,"Burger, Pizza, Momos",4.1,293,600,Yes,No,Quick Bites,Delivery
Tandoor Hut,Koramangala 5th Block,"North Indian, Mughlai, Chinese, Rolls",4.1,1003,700,Yes,No,Casual Dining,Delivery
Rollin,Koramangala 4th Block,"Continental, Pizza, Chinese",4.0,211,400,Yes,No,Quick Bites,Delivery
Crown Gold,Koramangala 4th Block,"South Indian, Chinese, Seafood",3.9,49,400,Yes,No,Quick Bites,Delivery
Hunger Meals,Koramangala 4th Block,"South Indian, North Indian, Biryani",3.8,31,400,No,No,Delivery,Delivery
Cafemoto,Koramangala 5th Block,"Cafe, Continental, Italian, Burger",4.0,201,800,Yes,No,Cafe,Delivery
DinePost9,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",3.9,226,450,Yes,No,Delivery,Delivery
Sultans of Spice,Koramangala 5th Block,"North Indian, Mughlai, Salad",4.5,3467,1300,Yes,Yes,Casual Dining,Delivery
Little Kitchen,Koramangala 1st Block,"Salad, Biryani, Chinese, North Indian, Kerala, Desserts, Seafood, South Indian",3.6,82,400,Yes,No,Quick Bites,Delivery
Atithi,HSR,"North Indian, Chinese, Street Food",3.9,224,800,Yes,Yes,Casual Dining,Delivery
Kick Out the Jams,Ejipura,"Burger, American, Italian",4.0,529,350,Yes,No,Delivery,Delivery
Naati Manae,Koramangala 5th Block,"North Indian, South Indian, Chinese, Biryani",3.9,484,700,Yes,Yes,Casual Dining,Delivery
Bonsouth,Koramangala 5th Block,"Chettinad, Andhra, Kerala",4.2,2620,1300,Yes,Yes,Casual Dining,Delivery
Anupam's Coast II Coast,Koramangala 6th Block,"Seafood, Mangalorean, North Indian, Chinese",4.1,845,700,Yes,No,Casual Dining,Delivery
Status,Old Airport Road,"Chinese, North Indian",3.6,119,550,Yes,No,Casual Dining,Delivery
B.M.W - Bhookh Mitaane Wala,Koramangala 1st Block,"North Indian, South Indian, Chinese",3.7,502,500,Yes,No,Delivery,Delivery
Nite Out,Koramangala 4th Block,"North Indian, Chinese, Biryani",4.0,1110,500,Yes,No,Delivery,Delivery
Kokomo,Koramangala 6th Block,"Thai, Chinese",4.0,195,500,Yes,No,Delivery,Delivery
China Pearl,Koramangala 6th Block,Chinese,4.4,1853,1100,Yes,Yes,Casual Dining,Delivery
Gods Own Cafe,Koramangala 7th Block,"South Indian, Kerala, Seafood",4.4,384,300,Yes,No,Quick Bites,Delivery
Dragon's Kitchen,HSR,Chinese,3.1,248,500,Yes,No,Casual Dining,Delivery
Sichuan,HSR,"Chinese, Asian, Seafood",4.0,494,800,Yes,No,Casual Dining,Delivery
Night Spoon,BTM,"Biryani, Chinese, North Indian",2.6,54,600,Yes,No,Delivery,Delivery
Magnolia,Koramangala 3rd Block,"Chinese, Thai, Asian",4.1,672,900,Yes,Yes,Casual Dining,Delivery
The Smoke Co.,Koramangala 6th Block,"American, European",4.3,519,2500,Yes,Yes,Casual Dining,Delivery
Eatsomnia,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental",3.4,433,500,Yes,No,Delivery,Delivery
Friends Night Kitchen,Koramangala 6th Block,"Italian, Pizza",3.8,110,400,Yes,No,"Takeaway, Delivery",Delivery
Banjara Melting Pot,Koramangala 4th Block,"North Indian, Chinese, Seafood",4.2,767,1700,Yes,Yes,Casual Dining,Delivery
Intriicake,HSR,"Bakery, Desserts, Italian, North Indian, Fast Food",3.8,34,350,Yes,No,"Quick Bites, Bakery",Delivery
Ocean,Koramangala 6th Block,"Mexican, Continental, Italian, Chinese",3.8,215,700,Yes,No,Casual Dining,Delivery
Ghar Ka Khana,Koramangala 1st Block,North Indian,3.7,95,150,Yes,No,Quick Bites,Delivery
Polamma's Mess,BTM,"North Indian, Chinese, Biryani",4.2,185,300,Yes,No,Mess,Delivery
Oye Amritsar,Koramangala 6th Block,North Indian,4.0,1862,600,Yes,Yes,Casual Dining,Delivery
Dhaba Express,HSR,"Biryani, Fast Food, North Indian, Chinese",3.7,175,400,Yes,No,"Takeaway, Delivery",Delivery
154 Breakfast Club,Koramangala 3rd Block,"Cafe, Continental",4.0,1513,900,Yes,Yes,Cafe,Delivery
Mealsbaba,HSR,North Indian,3.7,57,400,Yes,No,"Takeaway, Delivery",Delivery
Kevins Kitchen,Koramangala 6th Block,"North Indian, Chinese, Biryani",3.8,103,400,Yes,No,Quick Bites,Delivery
Midnight Hunger Solutions 24/7,Indiranagar,"North Indian, Mughlai, Chinese",2.1,253,500,Yes,No,Delivery,Delivery
BIB - Breakfast in the Box,HSR,"American, Sandwich",3.8,211,600,Yes,No,Delivery,Delivery
Zero Kelvin,Koramangala 4th Block,"Desserts, Beverages",4.3,169,450,Yes,No,Dessert Parlor,Delivery
Tongue Twisters,BTM,"Bengali, North Indian, Oriya",3.5,283,350,Yes,No,Quick Bites,Delivery
Nagarjuna,Koramangala 5th Block,"Andhra, North Indian, Biryani",4.3,2303,800,No,No,Casual Dining,Delivery
Kritunga Restaurant,Koramangala 5th Block,"Andhra, Biryani, North Indian, Chinese",3.8,1161,650,No,No,Casual Dining,Delivery
Hunan,Koramangala 5th Block,"Chinese, Thai, Momos",4.3,2246,1100,No,Yes,Casual Dining,Delivery
Shree Thali,Koramangala 5th Block,North Indian,4.1,183,150,No,No,Mess,Delivery
Mars Chicken Delight,Koramangala 1st Block,"North Indian, Chinese, Biryani, Beverages",3.7,107,500,No,No,Casual Dining,Delivery
Food And You,Koramangala 5th Block,"North Indian, Gujarati",3.8,89,300,No,No,Quick Bites,Delivery
Night Panda,Koramangala 1st Block,"Fast Food, Chinese, North Indian, American",3.8,196,500,No,No,Delivery,Delivery
Natuna Seafood House,Koramangala 5th Block,Seafood,4.1,76,450,Yes,No,Quick Bites,Delivery
Flavour of China,BTM,Chinese,3.8,254,600,Yes,No,Casual Dining,Delivery
Aaranya Restaurant,HSR,"North Indian, Chinese, Mughlai",3.4,212,800,Yes,No,Casual Dining,Delivery
Kataria's Home Food,BTM,North Indian,3.1,40,400,Yes,No,Quick Bites,Delivery
BTM Bawarchi Biryani,BTM,"Biryani, North Indian, Chinese",3.6,132,600,Yes,No,"Takeaway, Delivery",Delivery
Desi Vibes,BTM,"North Indian, Chinese",3.7,46,600,Yes,No,Casual Dining,Delivery
Eshmeet Da Dhaba,Koramangala 6th Block,"North Indian, Chinese",3.1,120,500,Yes,No,Casual Dining,Delivery
Kapoor's Biriyani,BTM,"Biryani, North Indian",3.3,334,400,Yes,No,Quick Bites,Delivery
Sagar Fast Food,BTM,"South Indian, Chinese, North Indian",3.7,67,300,Yes,No,Quick Bites,Delivery
Billionaires Cafe,Koramangala 5th Block,"Cafe, Italian",3.8,47,600,No,No,Cafe,Delivery
Imperial Restaurant,Koramangala 6th Block,"Seafood, Biryani, South Indian, Chettinad, Chinese, Arabian, Andhra, Kerala",3.6,243,800,Yes,No,Casual Dining,Delivery
The Food Dude,Koramangala 6th Block,"Fast Food, Burger, Sandwich, Pizza",4.0,177,300,Yes,No,Delivery,Delivery
Carrots,Koramangala 6th Block,"Italian, North Indian, Healthy Food, Desserts",4.1,601,1100,Yes,Yes,Casual Dining,Delivery
Kulfi & More,BTM,"Ice Cream, Beverages",3.7,47,200,Yes,No,Dessert Parlor,Delivery
Banana Beach Bar,Koramangala 6th Block,"Continental, Chinese",3.7,1014,1300,Yes,Yes,Bar,Delivery
Punjabi Chulha,Koramangala 1st Block,North Indian,3.8,38,500,Yes,No,Casual Dining,Delivery
Gilly's Restobar,Koramangala 5th Block,"Finger Food, Continental, North Indian",4.5,3909,1000,No,Yes,"Pub, Casual Dining",Delivery
Kopper Kadai,Koramangala 5th Block,"North Indian, Chinese",4.1,1697,1200,Yes,Yes,Casual Dining,Delivery
House Of Commons,Koramangala 5th Block,"Continental, Asian, North Indian",4.8,4441,1000,No,Yes,Bar,Delivery
Raj Darbar,Koramangala 6th Block,"North Indian, Chinese, Bengali",3.7,47,800,Yes,No,Casual Dining,Delivery
Bawarchi Inn,BTM,"North Indian, Biryani, Andhra, Chinese",3.1,140,600,Yes,No,Casual Dining,Delivery
Elmas Restaurant,Koramangala 7th Block,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",3.5,34,650,Yes,No,Casual Dining,Delivery
Happy Brew,Koramangala 5th Block,"Continental, American, Chinese, BBQ, Salad",4.0,2155,1000,No,Yes,Lounge,Delivery
Loveshack,Domlur,"Continental, Pizza, North Indian, Goan, Burger, Cafe",4.0,1758,1600,No,Yes,"Lounge, Cafe",Delivery
Barleyz,Koramangala 6th Block,"North Indian, Continental, Chinese",3.8,4648,2000,No,No,"Lounge, Microbrewery",Delivery
Over The Top Terrace Lounge,Koramangala 5th Block,"Continental, North Indian",3.9,1389,1400,No,Yes,Lounge,Delivery
Truffles,Koramangala 5th Block,"Cafe, American, Burger, Steak",4.7,14694,900,No,No,"Cafe, Casual Dining",Delivery
Mojo Pizza - 2X Toppings,HSR,Pizza,4.2,218,600,Yes,No,Delivery,Delivery
Berry'd Alive,Koramangala 5th Block,Desserts,4.3,1901,400,Yes,No,Dessert Parlor,Delivery
Dyu Art Cafe,Koramangala 5th Block,"Cafe, Italian, Fast Food",4.5,3842,800,No,No,Cafe,Delivery
Om Made Cafe,Koramangala 5th Block,"Cafe, Continental, European, Juices",4.1,2731,1300,No,No,Cafe,Delivery
Eat Street,Koramangala 6th Block,"North Indian, Chinese, Italian, Street Food, Desserts",4.2,1531,600,No,No,Quick Bites,Delivery
Kitchens@HSR,HSR,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",3.1,247,200,Yes,No,"Takeaway, Delivery",Delivery
Big Wong XL,Koramangala 5th Block,"Chinese, Sushi, Asian, Thai",4.5,684,1400,No,Yes,Casual Dining,Delivery
California Burrito,Koramangala 5th Block,"Mexican, Fast Food",4.1,1225,400,No,No,Quick Bites,Delivery
Royal Treat,Koramangala 5th Block,"North Indian, Chinese, Biryani",4.1,439,500,No,No,Casual Dining,Delivery
Khawa Karpo,Koramangala 5th Block,"Chinese, Tibetan, Momos",4.3,995,350,No,No,Quick Bites,Delivery
HSR High Street,HSR,"Hyderabadi, North Indian, South Indian, Biryani",3.8,321,800,No,Yes,Casual Dining,Delivery
Market Table,Koramangala 5th Block,"Cafe, Continental, Mediterranean, Beverages",4.5,548,900,No,Yes,Cafe,Delivery
Bundar,Koramangala 6th Block,"Cafe, Burger, Fast Food, Desserts",4.1,2448,700,No,No,Cafe,Delivery
Art of Delight,Koramangala 5th Block,"Ice Cream, Desserts, Beverages",4.3,450,400,No,No,Dessert Parlor,Delivery
Indian Coffee House & Restaurant,Koramangala 5th Block,"South Indian, North Indian, Chinese",4.2,676,650,No,No,Casual Dining,Delivery
Samosa Party,Koramangala 5th Block,"Street Food, Fast Food",4.1,43,150,No,No,Quick Bites,Delivery
Baba Da Dhaba,Koramangala 7th Block,North Indian,4.1,450,650,No,Yes,Casual Dining,Delivery
The Himalayan,Koramangala 5th Block,Korean,4.5,324,1200,No,Yes,Casual Dining,Delivery
Jose's Mess,BTM,"Kerala, South Indian, Biryani",4.4,316,300,No,No,Mess,Delivery
Natural Ice Cream,Koramangala 1st Block,"Ice Cream, Beverages",4.5,940,200,No,No,Dessert Parlor,Delivery
The ThickShake Factory,Koramangala 7th Block,"Beverages, Juices",4.3,236,350,No,No,Beverage Shop,Delivery
Gundappa Donne Biryani,Koramangala 7th Block,Biryani,3.1,117,200,No,No,Quick Bites,Delivery
Falahaar,Koramangala 6th Block,"North Indian, Street Food",3.9,154,200,No,No,Quick Bites,Delivery
Juicemaker,Koramangala 8th Block,"Beverages, Fast Food",3.9,164,400,No,No,Beverage Shop,Delivery
Lakeview Milkbar,Koramangala 8th Block,"Desserts, Cafe, Fast Food",3.8,289,500,No,No,"Dessert Parlor, Cafe",Delivery
Bansuri Sweets,Koramangala 6th Block,"Mithai, North Indian, Street Food",3.7,73,250,No,No,"Sweet Shop, Quick Bites",Delivery
Jai Jinendra,Koramangala 6th Block,"Street Food, Beverages",4.0,98,200,No,No,Quick Bites,Delivery
The Donut Baker,Koramangala 7th Block,Desserts,3.8,62,150,No,No,"Bakery, Dessert Parlor",Delivery
Food Theory,HSR,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",2.7,56,500,No,No,Delivery,Delivery
Ande Ka Funda,Koramangala 7th Block,"North Indian, Chinese, Rolls",3.6,72,250,No,No,Quick Bites,Delivery
Hungry Paunch,Koramangala 6th Block,"Bengali, Bihari",4.0,203,350,No,No,"Food Court, Quick Bites",Delivery
56 Bhoga Sweets,HSR,"Mithai, Street Food",3.6,51,150,No,No,"Takeaway, Delivery",Delivery
Melt,BTM,"Continental, Steak, Fast Food",4.0,115,1000,No,No,Casual Dining,Delivery
Avanti Indian Barbeque & Grill,Domlur,North Indian,3.4,46,1100,No,No,Casual Dining,Delivery
Apsara Ice Cream,Koramangala 5th Block,Ice Cream,4.0,128,200,No,No,Dessert Parlor,Delivery
Happy Plate,Koramangala 6th Block,"North Indian, Chinese, South Indian, Fast Food",3.6,54,400,No,No,Quick Bites,Delivery
Nightfork,Koramangala 6th Block,"Chinese, Biryani, Pizza, Italian, North Indian",3.7,126,500,No,No,Delivery,Delivery
Dash In,BTM,"North Indian, Chinese, Kerala",3.1,53,600,No,No,Casual Dining,Delivery
The Breakfast Truck,Koramangala 6th Block,Continental,3.9,64,550,No,No,Quick Bites,Delivery
De Street Cafe,BTM,Cafe,3.6,61,500,No,No,Cafe,Delivery
Delightz,Koramangala 6th Block,"Desserts, Fast Food",4.0,40,300,No,No,Dessert Parlor,Delivery
Tandoor-De-Naal,BTM,Fast Food,3.8,35,200,No,No,"Takeaway, Delivery",Delivery
Niice Cream,Koramangala 5th Block,"Ice Cream, Beverages, Desserts",3.8,38,400,No,No,Dessert Parlor,Delivery
New Farm Fresh,BTM,"Italian, Pizza",3.6,34,650,No,No,Quick Bites,Delivery
The Sweet Spot,Koramangala 6th Block,Desserts,4.0,157,300,No,No,Dessert Parlor,Delivery
Kitchen's Sea Food Restaurant,Koramangala 8th Block,"Seafood, North Indian, Chinese",3.4,9,800,No,No,"Takeaway, Delivery",Delivery
Aaharam,Koramangala 1st Block,"Chinese, North Indian",4.0,65,350,No,No,Quick Bites,Delivery
Rice and Rolls,Koramangala 6th Block,"Arabian, Biryani, North Indian, Chinese, Fast Food",2.7,61,500,No,No,Quick Bites,Delivery
Hotel Feast Ambur Biriyani,Koramangala 1st Block,"Biryani, Kebab",3.4,257,250,Yes,No,Quick Bites,Delivery
Hello Resto-Pub,Old Airport Road,Continental,4.0,344,900,Yes,Yes,"Casual Dining, Pub",Delivery
Sreeraj Lassi Bar,BTM,Beverages,4.0,87,200,Yes,No,Beverage Shop,Delivery
Haji Ali Juice Centre,Koramangala 5th Block,"Beverages, Fast Food, Desserts",4.0,152,350,Yes,No,"Beverage Shop, Quick Bites",Delivery
Kebarbiq,Koramangala 7th Block,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",4.0,138,800,No,No,Casual Dining,Delivery
Aroma Fine Dine,HSR,"North Indian, Mughlai, Chinese, South Indian",4.0,126,900,Yes,Yes,Casual Dining,Delivery
#L-81 Cafe,HSR,"Fast Food, Beverages",3.9,48,400,Yes,No,Quick Bites,Delivery
Halo Chef,Koramangala 4th Block,North Indian,3.9,145,500,Yes,No,Delivery,Delivery
Namaste Kitchen,Koramangala 5th Block,"North Indian, South Indian, Chinese",3.8,172,550,Yes,No,Casual Dining,Delivery
Cilantro,Koramangala 4th Block,"European, American, Continental, North Indian, Steak",4.0,281,1500,Yes,Yes,"Casual Dining, Bar",Delivery
Tella Tales,Koramangala 5th Block,"Cafe, Desserts, Beverages",4.2,414,700,Yes,No,Cafe,Delivery
Zero Kelvin,Koramangala 4th Block,"Desserts, Beverages",4.3,169,450,Yes,No,Dessert Parlor,Desserts
Oregano Pizzeria,Koramangala 4th Block,"Cafe, Italian, Pizza",3.7,52,450,Yes,No,Cafe,Desserts
The Bier Library,Koramangala 6th Block,"Continental, North Indian, Pizza, BBQ",4.3,552,2000,Yes,Yes,"Microbrewery, Casual Dining",Desserts
Kurtoskalacs,Koramangala 5th Block,"Desserts, Fast Food",4.7,262,350,No,No,"Dessert Parlor, Quick Bites",Desserts
Bonsouth,Koramangala 5th Block,"Chettinad, Andhra, Kerala",4.2,2620,1300,Yes,Yes,Casual Dining,Desserts
Eat Street,Koramangala 6th Block,"North Indian, Chinese, Italian, Street Food, Desserts",4.2,1531,600,No,No,Quick Bites,Desserts
Zee5 Loft,Koramangala 6th Block,"Cafe, North Indian, Pizza, Sandwich, Salad",4.4,361,500,Yes,No,Cafe,Desserts
Sixth Avenue Cafe And Patisserie,Koramangala 5th Block,"Cafe, Italian, Desserts",4.4,168,600,No,No,"Cafe, Dessert Parlor",Desserts
Bistro Claytopia,Koramangala 1st Block,"Cafe, American, Italian, Burger",4.1,1850,600,Yes,Yes,Cafe,Desserts
XO Belgian Waffle,Koramangala 5th Block,"Desserts, Beverages",4.5,833,400,Yes,No,Dessert Parlor,Desserts
Stoner,Koramangala 5th Block,"Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages",4.5,2613,500,Yes,No,"Dessert Parlor, Cafe",Desserts
Roundup Cafe,Koramangala 5th Block,"Cafe, Continental, Beverages",4.2,494,800,Yes,Yes,Cafe,Desserts
Carrots,Koramangala 6th Block,"Italian, North Indian, Healthy Food, Desserts",4.1,601,1100,Yes,Yes,Casual Dining,Desserts
Lot Like Crepes,Koramangala 7th Block,"Cafe, Desserts, Continental",4.6,1026,550,Yes,No,"Cafe, Dessert Parlor",Desserts
Tangerine - Davanam Sarovar Portico Suites,Koramangala 2nd Block,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese",4.0,152,1100,Yes,Yes,Casual Dining,Desserts
Art of Delight,Koramangala 5th Block,"Ice Cream, Desserts, Beverages",4.3,450,400,No,No,Dessert Parlor,Desserts
Corner House Ice Cream,Koramangala 5th Block,"Ice Cream, Desserts",4.6,277,400,Yes,No,Dessert Parlor,Desserts
Anand Sweets And Savouries,Koramangala 5th Block,"Mithai, Street Food",4.2,1077,400,Yes,No,Sweet Shop,Desserts
Krem,Koramangala 5th Block,"Desserts, Ice Cream, Beverages, Sandwich",4.1,61,450,Yes,No,Dessert Parlor,Desserts
Vegan Heat,Koramangala 1st Block,"Healthy Food, Salad",4.1,314,650,Yes,No,"Takeaway, Delivery",Desserts
99 Pancakes,Koramangala 5th Block,"Desserts, Cafe",4.5,342,300,Yes,No,"Dessert Parlor, Cafe",Desserts
Berry'd Alive,Koramangala 5th Block,Desserts,4.3,1901,400,Yes,No,Dessert Parlor,Desserts
IceBreakers,Koramangala 6th Block,"Desserts, Ice Cream",4.4,491,500,No,No,Dessert Parlor,Desserts
Smally's Resto Cafe,Koramangala 5th Block,"Cafe, Italian, Burger, American, Steak",4.2,1702,650,Yes,Yes,Cafe,Desserts
Natural Ice Cream,Koramangala 1st Block,"Ice Cream, Beverages",4.5,940,200,No,No,Dessert Parlor,Desserts
Polar Bear,Koramangala 6th Block,"Ice Cream, Desserts, Beverages, Sandwich",4.2,195,400,Yes,No,Dessert Parlor,Desserts
Smoor,Koramangala 7th Block,"Desserts, Beverages",4.2,600,900,Yes,No,Dessert Parlor,Desserts
Frozen Bottle,Koramangala 5th Block,"Beverages, Desserts, Ice Cream",4.1,241,400,Yes,No,Beverage Shop,Desserts
BelgYum,Koramangala 7th Block,Desserts,4.0,70,400,Yes,No,Dessert Parlor,Desserts
The Marash,Koramangala 5th Block,"Turkish, Desserts",4.3,67,250,Yes,No,Dessert Parlor,Desserts
Belgian Waffle Factory,Koramangala 5th Block,Desserts,4.8,187,400,Yes,No,Dessert Parlor,Desserts
Fresh Pressery Cafe,Koramangala 5th Block,"Cafe, Healthy Food, Salad, Beverages, Desserts",4.1,138,1200,Yes,No,Cafe,Desserts
Cream Stone,Koramangala 5th Block,"Desserts, Beverages",4.2,340,500,Yes,No,Dessert Parlor,Desserts
The Belgian Waffle Co.,Koramangala 5th Block,"Desserts, Beverages",4.2,178,350,Yes,No,Dessert Parlor,Desserts
Banchharam,Koramangala 7th Block,"Street Food, Mithai",3.9,140,200,No,No,"Quick Bites, Sweet Shop",Desserts
Baskin Robbins,Koramangala 7th Block,"Ice Cream, Desserts",4.1,77,250,No,No,Dessert Parlor,Desserts
Cream Chemistry,Koramangala 5th Block,"Ice Cream, Desserts",4.0,231,500,Yes,No,Dessert Parlor,Desserts
TRIGEREATO,Koramangala 8th Block,"Cafe, Continental, Beverages",4.4,102,700,Yes,Yes,Cafe,Desserts
Pabrai's Fresh & Naturelle Icecreams,Koramangala 5th Block,"Ice Cream, Desserts",3.9,128,200,Yes,No,Dessert Parlor,Desserts
Just Bake,Koramangala 5th Block,"Bakery, Desserts",3.8,123,400,Yes,No,Bakery,Desserts
Sweet Chariot,Koramangala 7th Block,"Bakery, Fast Food",4.0,186,500,Yes,No,"Bakery, Dessert Parlor",Desserts
Krispy Kreme,Koramangala 7th Block,"Desserts, Beverages",4.2,448,300,Yes,No,Dessert Parlor,Desserts
Haagen Dazs,Koramangala 7th Block,"Ice Cream, Desserts",3.9,79,800,Yes,No,Dessert Parlor,Desserts
Cookie Man,Koramangala 7th Block,Bakery,4.0,100,150,Yes,No,Dessert Parlor,Desserts
Haji Ali Juice Centre,Koramangala 5th Block,"Beverages, Fast Food, Desserts",4.0,152,350,Yes,No,"Beverage Shop, Quick Bites",Desserts
Lassi Shop,Koramangala 5th Block,"Beverages, Ice Cream",4.0,210,200,Yes,No,Beverage Shop,Desserts
